# proofs/spatial/REGISTRY.tsv — THE TRANSFER RULES OF THE RESOURCE ANALYSIS AND WHAT DISCHARGES EACH (tasks.md A6).
#
# Columns:  id  kind  witness  code-site  statement
#   kind     MECHANIZED (Lean, proofs/lean/Zippy/Spatial.lean; built sorry-free by scripts/check_lean.sh)
#            CHECKED (proofs/spatial/check_transfers.py over the exhaustive small universe; argument in README.md)
#            DIFFERENTIAL (a Scala gate suite compares the rule against the counted executors; conditional on T9)
#            PREMISE (a property checked at run time or asserted about the implementation; stated, not proved)
#   witness  the Lean theorems (file#name, comma separated), the checker, or the suite
# proofs/spatial/check_transfers.py writes STATUS.tsv from this table; scripts/proof_closure.py --check refuses an OPEN row.
A6-IVL	MECHANIZED	proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.mem_add,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.mem_mul,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.mem_hull_left,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.mem_hull_right,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.sum_mem,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.mem_foldl_hull	SpatialCostSemantics.scala (EventBounds.+ / scale / hull; CostSem.add / mul / hullI)	INTERVAL ARITHMETIC IS SOUND: a count in γ(i) plus one in γ(j) lies in γ(add i j); a product in γ(mul i j); k executions each in γ(i) sum into γ(mul ⟨k,k⟩ i) (the `scale` rule); the hull over alternatives contains what any alternative contains.  Upper endpoints are `WithTop ℕ`: saturation to INF is the sound direction.
A6-ORDER	MECHANIZED	proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.leq_mem,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.leq_trans,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.leq_hull_left,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.leq_hull_right	SpatialCostSemantics.scala (EventBounds.contains / violations; Domain.leq on summaries)	THE ORDER IS CONTAINMENT: `i ⊑ j` (j.lo ≤ i.lo, i.hi ≤ j.hi) implies γ(i) ⊆ γ(j); it is transitive and the hull is an upper bound of both arguments.
A6-MUSTMAY	MECHANIZED	proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.must_may,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Ivl.mem_top	SpatialCostSemantics.scala (Walk(share = true) for lower endpoints, Walk(share = false) for upper; frontierEvents' MUST side; narySummBounds)	LOWER BOUNDS FROM MUST FACTS, UPPER FROM MAY FACTS: an endpoint L below every admitted execution and an endpoint U above every one give an interval containing every admitted execution; ⟨0, ⊤⟩ admits everything.  The rules that produce L only read universal facts (maximal sharing, must-present keys, must-aliasing) and the rules that produce U cover every alternative (no sharing, every may-present key, every alias possibility).
A6-RANGE	MECHANIZED	proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Range.normalize_bounds,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Range.normalize_full,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Range.normalize_empty,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Range.slice_length,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Range.slice_full,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.Range.slice_empty	MORKL.scala:233 (RangeBounds.normalize); SpatialCostSemantics.scala (rangeTrie / sliceTrie / sortComparisons)	RANGE NORMALISATION: the window `normalize(size, start, end)` lies in [0, size] with lo ≤ hi; (0, 0) is the identity window on a nonempty source and the empty source has the empty window; the slice `[lo, hi)` of the canonical order has exactly hi − lo elements, the full slice is the source and the empty window selects nothing.
A6-WIDEN	MECHANIZED	proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.widen_upper,proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.post_fixpoint	SpatialDomain.scala (Domain.widen = join then SpatialRecursion.widenType); SpatialCostSemantics.scala (fixpoint / system / GraphSem Fixpoint)	WIDENING: a widening that dominates the join is an upper bound of both its arguments, so the iteration `cur := widen(cur, nxt)` never drops a fact; the iteration stops at a post-fixpoint (`nxt ⊑ cur`).
A6-EXHAUST	MECHANIZED	proofs/lean/Zippy/Spatial.lean#Zippy.Spatial.exhaustive	proofs/spatial/check_transfers.py	THE FINITE-MODEL PRINCIPLE: a decidable property with no counterexample on a finite universe holds on every element of it — what the checker's zero-failure enumeration of the small universe establishes for that universe.
A6-EXACT-UNION	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.union)	The exact-tier union transfer is EXACT on the small universe: γ(union#(α a, α b)) = {a ∪ b} for every pair.
A6-EXACT-INTER	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.inter)	The exact-tier intersection transfer is exact on the small universe.
A6-EXACT-SUB	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.sub)	The exact-tier subtraction transfer is exact on the small universe.
A6-EXACT-RESTRICT	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.restrict)	The exact-tier restriction (prefix-filter) transfer is exact on the small universe.
A6-EXACT-RAFF	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.raff)	The exact-tier raffination (prefix-complement) transfer is exact on the small universe.
A6-EXACT-COMP	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.comp)	The exact-tier composition (concatenation) transfer is exact on the small universe.
A6-EXACT-TAILS-UNION	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.tailsUnion)	The exact-tier tails-union transfer is exact on the small universe.
A6-EXACT-TAILS-INTER	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.tailsInter)	The exact-tier tails-intersection transfer is exact on the small universe.
A6-EXACT-WRAP	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.wrap)	The exact-tier wrap transfer is exact on the small universe.
A6-EXACT-UNWRAP	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.unwrap)	The exact-tier unwrap transfer is exact on the small universe.
A6-EXACT-RANGE	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.range)	The exact-tier range transfer (the canonical-order slice under `normalize`) is exact on the small universe over eight windows including the identity, the empty, the first, the last and negative windows.
A6-EXACT-UNION-SAME	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.unionA / mustAlias short circuit)	The alias short circuit `x ∪ x = x` (the same object on both sides) is exact on the small universe.
A6-EXACT-INTER-SAME	CHECKED	proofs/spatial/check_transfers.py	SpatialDomain.scala (Domain.interA)	The alias short circuit `x ∩ x = x` is exact on the small universe.
